item_id,kind,name,category,lat,lon,coord_quality,address,ward,machiaza,google_place_id,google_rating,google_reviews,google_lat,google_lon,picked_by,picked_at,note
"文化財:長久院:35.722389,139.769222",文化財,長久院,文化財のある寺社,35.722389,139.769222,point,東京都台東区谷中6丁目,台東区,谷中,,,,,,栗原,2026-08-17T11:12:45.025Z,
"文化財:津梁院:35.720447,139.770152",文化財,津梁院,文化財のある寺社,35.720447,139.770152,chome,東京都台東区上野桜木1丁目,台東区,上野桜木,,,,,,栗原,2026-08-17T11:12:46.239Z,
"文化財:加納院:35.72441,139.768063",文化財,加納院,文化財のある寺社,35.72441,139.768063,chome,東京都台東区谷中5丁目,台東区,谷中,,,,,,栗原,2026-08-17T11:12:47.493Z,
"文化財:妙経寺:35.71002,139.78346",文化財,妙経寺,文化財のある寺社,35.71002,139.78346,point,東京都台東区元浅草2丁目,台東区,元浅草,,,,,,栗原,2026-08-17T11:12:48.359Z,
"文化財:永称寺:35.723278,139.781306",文化財,永称寺,文化財のある寺社,35.723278,139.781306,point,東京都台東区根岸3丁目,台東区,根岸,,,,,,栗原,2026-08-17T11:12:49.138Z,
"文化財:清水寺:35.714194,139.788667",文化財,清水寺,文化財のある寺社,35.714194,139.788667,point,東京都台東区松が谷2丁目,台東区,松が谷,,,,,,栗原,2026-08-17T11:12:51.827Z,
"文化財:真源寺:35.719861,139.782667",文化財,真源寺,文化財のある寺社,35.719861,139.782667,point,東京都台東区下谷1丁目,台東区,下谷,,,,,,栗原,2026-08-17T11:12:58.869Z,
"文化財:下谷神社:35.710806,139.781306",文化財,下谷神社,文化財のある寺社,35.710806,139.781306,point,東京都台東区東上野3丁目,台東区,東上野,,,,,,栗原,2026-08-17T11:12:59.821Z,
"文化財:法善寺:35.714167,139.78375",文化財,法善寺,文化財のある寺社,35.714167,139.78375,point,東京都台東区東上野6丁目,台東区,東上野,,,,,,栗原,2026-08-17T11:13:02.039Z,
"文化財:臨江寺:35.720111,139.766361",文化財,臨江寺,文化財のある寺社,35.720111,139.766361,point,東京都台東区谷中1丁目,台東区,谷中,,,,,,栗原,2026-08-17T11:13:03.221Z,
"文化財:長明寺:35.72683,139.76719",文化財,長明寺,文化財のある寺社,35.72683,139.76719,point,東京都台東区谷中5丁目,台東区,谷中,,,,,,栗原,2026-08-17T11:13:05.472Z,
"文化財:本寿寺:35.7195,139.766278",文化財,本寿寺,文化財のある寺社,35.7195,139.766278,point,東京都台東区谷中1丁目,台東区,谷中,,,,,,栗原,2026-08-17T11:13:08.758Z,
"文化財:金嶺寺:35.721278,139.768556",文化財,金嶺寺,文化財のある寺社,35.721278,139.768556,point,東京都台東区谷中1丁目,台東区,谷中,,,,,,栗原,2026-08-17T11:13:10.806Z,
"文化財:寛永寺清水観音堂:35.721389,139.774306",文化財,寛永寺清水観音堂,文化財のある寺社,35.721389,139.774306,point,東京都台東区上野公園,台東区,上野公園,,,,,,栗原,2026-08-17T11:13:19.998Z,
"文化財:安楽寺:35.724361,139.784361",文化財,安楽寺,文化財のある寺社,35.724361,139.784361,point,東京都台東区根岸4丁目,台東区,根岸,,,,,,栗原,2026-08-17T11:13:22.720Z,
"文化財:坂本村文書:35.717536,139.789599",文化財,坂本村文書,美術工芸品,35.717536,139.789599,chome,東京都台東区西浅草3丁目25番16号,台東区,西浅草,,,,,,栗原,2026-08-17T11:13:24.891Z,
"文化財:灯明寺:35.716979,139.783839",文化財,灯明寺,文化財のある寺社,35.716979,139.783839,chome,東京都台東区北上野2丁目,台東区,北上野,,,,,,栗原,2026-08-17T11:13:26.813Z,
"文化財:杮経:35.717536,139.789599",文化財,杮経,美術工芸品,35.717536,139.789599,chome,東京都台東区西浅草3丁目25番16号,台東区,西浅草,,,,,,栗原,2026-08-17T11:13:40.968Z,
"文化財:谷中三崎町会文書（野池家所蔵）:35.717536,139.789599",文化財,谷中三崎町会文書（野池家所蔵）,美術工芸品,35.717536,139.789599,chome,東京都台東区西浅草3丁目25番16号,台東区,西浅草,,,,,,栗原,2026-08-17T11:13:42.260Z,
"文化財:谷中三崎町会文書（台東区教育委員会所蔵）:35.717536,139.789599",文化財,谷中三崎町会文書（台東区教育委員会所蔵）,美術工芸品,35.717536,139.789599,chome,東京都台東区西浅草3丁目25番16号,台東区,西浅草,,,,,,栗原,2026-08-17T11:13:44.520Z,
"文化財:北豊島郡浅草区地方今戸町（自壱番地至拾五番地）実測図:35.717536,139.789599",文化財,北豊島郡浅草区地方今戸町（自壱番地至拾五番地）実測図,美術工芸品,35.717536,139.789599,chome,東京都台東区西浅草3丁目25番16号,台東区,西浅草,,,,,,栗原,2026-08-17T11:13:56.021Z,
"文化財:柏木家文書:35.717536,139.789599",文化財,柏木家文書,美術工芸品,35.717536,139.789599,chome,東京都台東区西浅草3丁目25番16号,台東区,西浅草,,,,,,栗原,2026-08-17T11:13:58.270Z,
"文化財:光明寺:35.710333,139.785639",文化財,光明寺,文化財のある寺社,35.710333,139.785639,point,東京都台東区元浅草4丁目,台東区,元浅草,,,,,,栗原,2026-08-17T11:14:00.694Z,
"文化財:諸願伺届扣（感応寺旧蔵）:35.717536,139.789599",文化財,諸願伺届扣（感応寺旧蔵）,美術工芸品,35.717536,139.789599,chome,東京都台東区西浅草3丁目25番16号,台東区,西浅草,,,,,,栗原,2026-08-17T11:14:02.116Z,
"文化財:宗林寺:35.727028,139.765861",文化財,宗林寺,文化財のある寺社,35.727028,139.765861,point,東京都台東区谷中3丁目,台東区,谷中,,,,,,栗原,2026-08-17T11:14:03.804Z,
"文化財:総持院:35.722889,139.769778",文化財,総持院,文化財のある寺社,35.722889,139.769778,point,東京都台東区谷中6丁目,台東区,谷中,,,,,,栗原,2026-08-17T11:14:08.875Z,
"文化財:望月家文書　附　浅草質屋組合資料:35.717536,139.789599",文化財,望月家文書　附　浅草質屋組合資料,美術工芸品,35.717536,139.789599,chome,東京都台東区西浅草3丁目25番16号,台東区,西浅草,,,,,,栗原,2026-08-17T11:14:10.510Z,
